model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1810.374357167179,528.4029467995538,2305.5342404898934,795.0568155864618,-0.25446934823770295,0.9238761578327742
Ridge,1775.4305414516602,565.9597557596472,2265.2546285514372,738.8943678127872,-0.2110189921328005,0.8014269208114265
Lasso,1802.1081314766102,556.5377451350226,2303.0396306306966,764.2128619704033,-0.2517561214959232,0.9037830059030736
ElasticNet,1759.7227823135893,510.12594416767416,2249.160697107571,693.8871072677857,-0.1938722917234308,0.8024356152841045
RandomForest,1808.215526665774,489.8207504688255,2129.2531838605723,494.84084459535444,-0.06996978026040623,1.1475498618425708
GradientBoosting,1753.8146536648958,481.799512649832,2118.4736499415453,474.8695484663115,-0.05916356872783446,1.177079822814601
SVR,1728.1887771086917,526.7779232708018,2203.7561823217657,668.8197411246599,-0.14615667641150187,0.8510647866949009
KNN,1967.966126656848,283.9780212848229,2246.1304666507945,307.6831666180118,-0.19065751817106835,1.5847456125425088
BayesianRidge,1769.2374420159715,511.5274438610518,2257.1655490679896,691.9890518472322,-0.20238549171868558,0.8152298650420686
XGBoost,1749.5732245691045,432.96883418753055,2088.0827217463266,387.33548164447853,-0.028992716421029074,1.045810683927093
DecisionTree,2201.52517722827,468.52178437824244,2606.9126861242744,318.0480396540454,-0.6038726150853972,1.355671135556904
